"REF_DATE","GEO","VALUE"
"2010","Newfoundland and Labrador","78.65"
"2011","Newfoundland and Labrador","71.85"
"2012","Newfoundland and Labrador","68.00"
"2013","Newfoundland and Labrador","68.47"
"2014","Newfoundland and Labrador","62.36"
"2015","Newfoundland and Labrador","65.78"
"2016","Newfoundland and Labrador","69.55"
"2017","Newfoundland and Labrador","63.51"
"2018","Newfoundland and Labrador","64.84"
"2019","Newfoundland and Labrador","71.56"
"2010","Prince Edward Island","66.36"
"2011","Prince Edward Island","67.26"
"2012","Prince Edward Island","73.60"
"2013","Prince Edward Island","65.31"
"2014","Prince Edward Island","55.75"
"2015","Prince Edward Island","50.63"
"2016","Prince Edward Island","49.33"
"2017","Prince Edward Island","45.86"
"2018","Prince Edward Island","54.18"
"2019","Prince Edward Island","64.03"
"2010","Nova Scotia","83.62"
"2011","Nova Scotia","79.48"
"2012","Nova Scotia","76.88"
"2013","Nova Scotia","70.06"
"2014","Nova Scotia","66.79"
"2015","Nova Scotia","63.26"
"2016","Nova Scotia","62.32"
"2017","Nova Scotia","66.26"
"2018","Nova Scotia","65.51"
"2019","Nova Scotia","66.05"
"2010","New Brunswick","69.16"
"2011","New Brunswick","66.21"
"2012","New Brunswick","68.03"
"2013","New Brunswick","60.04"
"2014","New Brunswick","56.02"
"2015","New Brunswick","62.41"
"2016","New Brunswick","61.56"
"2017","New Brunswick","68.74"
"2018","New Brunswick","72.95"
"2019","New Brunswick","79.45"
"2010","Quebec","75.99"
"2011","Quebec","73.35"
"2012","Quebec","70.69"
"2013","Quebec","62.67"
"2014","Quebec","57.66"
"2015","Quebec","56.95"
"2016","Quebec","56.62"
"2017","Quebec","57.82"
"2018","Quebec","56.63"
"2019","Quebec","55.87"
"2010","Ontario","65.58"
"2011","Ontario","61.17"
"2012","Ontario","59.04"
"2013","Ontario","52.58"
"2014","Ontario","49.93"
"2015","Ontario","51.05"
"2016","Ontario","53.29"
"2017","Ontario","56.34"
"2018","Ontario","60.36"
"2019","Ontario","60.70"
"2010","Manitoba","127.31"
"2011","Manitoba","115.99"
"2012","Manitoba","114.46"
"2013","Manitoba","100.70"
"2014","Manitoba","96.68"
"2015","Manitoba","106.29"
"2016","Manitoba","115.38"
"2017","Manitoba","119.01"
"2018","Manitoba","126.10"
"2019","Manitoba","139.26"
"2010","Saskatchewan","148.15"
"2011","Saskatchewan","143.62"
"2012","Saskatchewan","138.80"
"2013","Saskatchewan","126.54"
"2014","Saskatchewan","125.04"
"2015","Saskatchewan","138.33"
"2016","Saskatchewan","151.37"
"2017","Saskatchewan","143.10"
"2018","Saskatchewan","140.59"
"2019","Saskatchewan","148.18"
"2010","Alberta","98.18"
"2011","Alberta","87.52"
"2012","Alberta","86.13"
"2013","Alberta","85.31"
"2014","Alberta","87.55"
"2015","Alberta","104.49"
"2016","Alberta","105.99"
"2017","Alberta","112.00"
"2018","Alberta","113.59"
"2019","Alberta","119.07"
"2010","British Columbia","104.13"
"2011","British Columbia","96.70"
"2012","British Columbia","94.53"
"2013","British Columbia","87.71"
"2014","British Columbia","90.18"
"2015","British Columbia","92.65"
"2016","British Columbia","91.73"
"2017","British Columbia","87.23"
"2018","British Columbia","89.00"
"2019","British Columbia","104.41"


